cna,kev_entries,configurations,workarounds,solutions,median_desc_chars
palo_alto,14,10,13,13,384
mitre,322,1,1,3,251
microsoft,377,0,0,0,181
cisco,95,0,0,0,739
apple,94,0,0,0,324
adobe,74,0,0,0,324
Chrome,74,0,0,0,187
oracle,44,0,0,0,560
GitHub_M,38,0,0,0,574
apache,35,0,3,0,466
redhat,33,0,1,0,294
vmware,32,0,1,1,267
fortinet,29,0,0,20,356
hackerone,27,0,0,0,201
VulnCheck,19,0,0,0,372
sonicwall,17,0,0,0,223
ivanti,17,0,0,0,191
google_android,14,0,0,0,331
atlassian,13,0,0,0,491
trendmicro,12,0,0,0,365
qualcomm,12,0,0,0,117
mozilla,12,0,0,0,308
qnap,12,0,0,5,345
Citrix,11,0,0,0,201
Samsung Mobile,11,0,0,0,152
